epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,344.201,2.71587,0.17259,0.55203,2.76231,0.00333282,0.00333282,0.00333282
2,675.581,2.60715,0.1986,0.60533,2.45686,0.00664965,0.00664965,0.00664965
3,1026.46,2.5451,0.22589,0.5736,2.50607,0.00994999,0.00994999,0.00994999
4,1361.74,2.50962,0.23287,0.67132,2.59971,0.00992575,0.00992575,0.00992575
5,1698.64,2.43914,0.25317,0.68528,2.55118,0.009901,0.009901,0.009901
6,2038.76,2.40988,0.27221,0.74619,2.54094,0.00987625,0.00987625,0.00987625
7,2380.06,2.35872,0.27855,0.75952,2.41432,0.0098515,0.0098515,0.0098515
8,2705.11,2.30765,0.2868,0.77094,2.37413,0.00982675,0.00982675,0.00982675
9,3027.27,2.27609,0.30013,0.76586,2.34869,0.009802,0.009802,0.009802
10,3350.55,2.25595,0.31789,0.78363,2.29386,0.00977725,0.00977725,0.00977725
11,3673.48,2.2176,0.32614,0.78426,2.23996,0.0097525,0.0097525,0.0097525
12,3996.4,2.19342,0.32234,0.76459,2.3296,0.00972775,0.00972775,0.00972775
13,4319.38,2.16176,0.33439,0.79569,2.18525,0.009703,0.009703,0.009703
14,4641.92,2.13843,0.34454,0.79378,2.22136,0.00967825,0.00967825,0.00967825
15,4964.44,2.1141,0.35025,0.80393,2.13646,0.0096535,0.0096535,0.0096535
16,5286.95,2.09477,0.36231,0.80457,2.14649,0.00962875,0.00962875,0.00962875
17,5610.4,2.07448,0.36802,0.78617,2.13012,0.009604,0.009604,0.009604
18,5932.82,2.05756,0.37437,0.80838,2.10802,0.00957925,0.00957925,0.00957925
19,6255.47,2.0338,0.39086,0.8052,2.09636,0.0095545,0.0095545,0.0095545
20,6578.4,2.0062,0.3915,0.80266,2.06483,0.00952975,0.00952975,0.00952975
21,6906.89,1.98861,0.39848,0.81536,2.04059,0.009505,0.009505,0.009505
22,7257.23,1.96719,0.40102,0.8236,2.06731,0.00948025,0.00948025,0.00948025
23,7597.74,1.93521,0.40419,0.82551,2.01401,0.0094555,0.0094555,0.0094555
24,7937.96,1.93598,0.41497,0.82868,1.94989,0.00943075,0.00943075,0.00943075
25,8259.57,1.91343,0.42703,0.83693,1.92101,0.009406,0.009406,0.009406
26,8578.81,1.89166,0.42957,0.84201,1.91079,0.00938125,0.00938125,0.00938125
27,8897.85,1.86667,0.43274,0.84898,1.90998,0.0093565,0.0093565,0.0093565
28,9216.38,1.85626,0.43782,0.85279,1.89004,0.00933175,0.00933175,0.00933175
29,9536.42,1.83151,0.44036,0.85025,1.87113,0.009307,0.009307,0.009307
30,9855.99,1.80252,0.44289,0.84835,1.86931,0.00928225,0.00928225,0.00928225
31,10177.1,1.78545,0.44987,0.85279,1.86835,0.0092575,0.0092575,0.0092575
32,10496.1,1.76284,0.45431,0.85343,1.8498,0.00923275,0.00923275,0.00923275
33,10815.6,1.74629,0.45749,0.85596,1.82253,0.009208,0.009208,0.009208
34,11135.5,1.73072,0.45622,0.86041,1.80189,0.00918325,0.00918325,0.00918325
35,11454.8,1.71791,0.46066,0.86421,1.78746,0.0091585,0.0091585,0.0091585
36,11775,1.69039,0.46066,0.86294,1.77301,0.00913375,0.00913375,0.00913375
37,12095.7,1.6683,0.46193,0.86421,1.75245,0.009109,0.009109,0.009109
38,12415.7,1.65912,0.4651,0.86612,1.74246,0.00908425,0.00908425,0.00908425
39,12735.4,1.63602,0.47145,0.86675,1.73247,0.0090595,0.0090595,0.0090595
40,13056.4,1.60971,0.47335,0.86865,1.71836,0.00903475,0.00903475,0.00903475
41,13376,1.59232,0.47525,0.87119,1.70971,0.00901,0.00901,0.00901
42,13696.1,1.5818,0.47335,0.8731,1.69813,0.00898525,0.00898525,0.00898525
43,14016.1,1.55034,0.47716,0.87373,1.69219,0.0089605,0.0089605,0.0089605
44,14336.5,1.5258,0.47906,0.87373,1.68297,0.00893575,0.00893575,0.00893575
45,14656.5,1.51967,0.47906,0.87627,1.67632,0.008911,0.008911,0.008911
46,14977,1.49906,0.48033,0.8769,1.67298,0.00888625,0.00888625,0.00888625
47,15296.9,1.4866,0.4816,0.88071,1.66753,0.0088615,0.0088615,0.0088615
48,15617.8,1.46625,0.48477,0.88008,1.66577,0.00883675,0.00883675,0.00883675
49,15938.7,1.45021,0.48794,0.88198,1.66152,0.008812,0.008812,0.008812
50,16260.1,1.42874,0.48921,0.88452,1.65529,0.00878725,0.00878725,0.00878725
51,16581.2,1.41389,0.49302,0.88579,1.64805,0.0087625,0.0087625,0.0087625
52,16902.4,1.38149,0.49112,0.88515,1.64015,0.00873775,0.00873775,0.00873775
53,17224.2,1.3735,0.49112,0.88388,1.62999,0.008713,0.008713,0.008713
54,17544.5,1.36297,0.49556,0.88515,1.62259,0.00868825,0.00868825,0.00868825
55,17864.5,1.33674,0.49937,0.88388,1.61611,0.0086635,0.0086635,0.0086635
56,18185.3,1.32185,0.5019,0.88452,1.61193,0.00863875,0.00863875,0.00863875
57,18505.7,1.307,0.50508,0.88452,1.60574,0.008614,0.008614,0.008614
58,18826.3,1.28942,0.50508,0.88706,1.5977,0.00858925,0.00858925,0.00858925
59,19148.1,1.27772,0.50444,0.88706,1.58979,0.0085645,0.0085645,0.0085645
